Index,x,y,f090w,e_f090w,f187n,e_f187n,f200w,e_f200w,f335m,e_f335m,f444w,e_f444w,f470n,e_f470n,f090w-f444w,e_f090w-f444w,f090w-f187n,e_f090w-f187n,δ_f090w-f187n,e_δ_f090w-f187n,f187n-f200w,e_f187n-f200w,δ_f187n-f200w,e_δ_f187n-f200w,f200w-f335m,e_f200w-f335m,δ_f200w-f335m,e_δ_f200w-f335m,f335m-f444w,e_f335m-f444w,δ_f335m-f444w,e_δ_f335m-f444w,f444w-f470n,e_f444w-f470n,δ_f444w-f470n,e_δ_f444w-f470n,(f090w-f200w)-(f200w-f444w),e_δ_(f090w-f200w)-(f200w-f444w),δ_(f090w-f200w)-(f200w-f444w),RA,DEC
16.0,152.338,4666.025,13.1580347266881,0.0746,10.276090909090911,0.0187,16.096521276595748,0.0432,11.418389473684213,0.0111,12.614625000000002,0.0108,5.272285714285713,0.0119,0.5434097266880986,0.07537771553980659,2.8819438175971896,0.07690806199612625,-0.14484357077467758,0.07690806199612625,-5.820430367504837,0.047073665674132494,0.08974430789244447,0.047073665674132494,4.678131802911535,0.04460325100258949,0.029262845094077505,0.04460325100258949,-1.1962355263157889,0.015487091398968368,0.025836417788156485,0.015487091398968368,7.342339285714289,0.0160701586799882,-0.04870985977063125,0.0160701586799882,-6.420382826503394,0.0970272126776813,-0.11019852576446798,159.19327625328455,-58.68031220512703
17.0,152.438,3450.52,13.3170347266881,0.0377,9.58309090909091,0.0337,15.430521276595748,0.0417,,,,,,,,,3.73394381759719,0.05056658976043371,,0.05056658976043371,-5.847430367504838,0.05361510981057485,,0.05361510981057485,,,,,,,,,,,,,,,,159.17345050186609,-58.67787332013929
18.0,152.917,4026.955,14.720034726688102,0.1188,10.82509090909091,0.0342,16.582521276595745,0.0306,11.353389473684212,0.035,12.758625,0.0128,5.337285714285715,0.0165,1.9614097266881014,0.11948757257556118,3.8949438175971913,0.12362475480258799,-0.21205903118068115,0.12362475480258799,-5.757430367504835,0.04589117562233506,0.06324034281339586,0.04589117562233506,5.2291318029115335,0.046490429122562425,0.3544875058684278,0.046490429122562425,-1.4052355263157885,0.03726714370595096,-0.2056688175011414,0.03726714370595096,7.421339285714286,0.02088276801575883,0.054520646763385194,0.02088276801575883,-5.686382826503388,0.12708265027138835,-0.29763737673457147,159.18285425232673,-58.67902584100306
19.0,154.593,6513.307,13.476034726688098,0.0568,9.957090909090912,0.0227,15.705521276595746,0.0491,11.011389473684213,0.0349,12.132624999999999,0.0168,4.850285714285713,0.0447,1.3434097266880993,0.05923242355332087,3.5189438175971866,0.06116804721421144,-0.11727401388102976,0.06116804721421144,-5.7484303675048345,0.05409343767962987,0.11124841786195283,0.05409343767962987,4.694131802911533,0.060239687914198224,-0.08211393303040815,0.060239687914198224,-1.121235526315786,0.038733060813728626,0.08813952904948597,0.038733060813728626,7.282339285714286,0.04775280096496958,-0.0950396163099736,0.04775280096496958,-5.802382826503395,0.09126938150332783,-0.012051192038154745,159.22342130820624,-58.68399249148983
20.0,155.886,4830.884,11.886034726688099,0.157,9.628090909090911,0.0257,15.440521276595746,0.0403,10.92238947368421,0.0152,12.113625,0.0116,4.7462857142857136,0.0178,-0.22759027331190218,0.1574279517747722,2.2579438175971873,0.15908956596835633,-0.18150498123093595,0.15908956596835633,-5.8124303675048345,0.04779728025735356,0.1464097219093361,0.04779728025735356,4.518131802911535,0.043071220089521495,-0.007977784988450587,0.043071220089521495,-1.1912355263157899,0.019120669444347392,0.04307304431005177,0.019120669444347392,7.367339285714287,0.02124617612654098,-0.0368845569058438,0.02124617612654098,-6.881382826503392,0.1674268198348162,-0.07019051864320147,159.19597916649963,-58.680612556850626
21.0,169.1,330.73,14.0820347266881,0.0839,10.03409090909091,0.0359,15.719521276595746,0.0543,10.96838947368421,0.0195,12.114625000000002,0.0146,4.694285714285714,0.0207,1.967409726688098,0.08516084781165581,4.04794381759719,0.09125798595191546,-0.06362975950397676,0.09125798595191546,-5.685430367504836,0.06509454662258583,0.1348616236381659,0.06509454662258583,4.7511318029115355,0.05769523377195035,-0.12446781996750289,0.05769523377195035,-1.1462355263157917,0.024360008210179238,0.05323595583331531,0.024360008210179238,7.420339285714288,0.02533081127796739,0.053623173589342876,0.02533081127796739,-5.242382826503389,0.11467061524209243,0.1424637282683774,159.12264075204146,-58.67146051724828
22.0,169.344,7664.175,17.3490347266881,0.0543,12.68009090909091,0.0243,16.008521276595747,0.2931,13.35238947368421,0.0207,14.343625000000001,0.0195,7.244285714285715,0.013,3.0054097266880984,0.05769523377195035,4.668943817597189,0.05948932677380036,-0.23336575943446558,0.05948932677380036,-3.3284303675048363,0.29410559328241276,2.4263432063235992,0.29410559328241276,2.6561318029115366,0.29383005292175274,-2.38473918958402,0.29383005292175274,-0.9912355263157906,0.02843835438276976,0.19176174269488788,0.02843835438276976,7.0993392857142865,0.02343608329051593,-0.24963968552045301,0.02343608329051593,-0.3243828265033937,0.418502043005766,4.385954893778266,159.24225639124768,-58.68616858621507
23.0,173.343,3104.145,13.389034726688099,0.0505,9.65909090909091,0.0221,15.406521276595747,0.0431,10.469389473684211,0.0239,11.745625000000002,0.0136,4.332285714285712,0.0293,1.6434097266880965,0.052299235176052054,3.7299438175971886,0.05512404194178798,-0.13481043004590632,0.05512404194178798,-5.747430367504837,0.04843573061284406,0.093312459100515,0.04843573061284406,4.937131802911535,0.049283059969932874,0.11311977517291272,0.049283059969932874,-1.2762355263157907,0.027498545416076103,-0.07162180422752096,0.027498545416076103,7.41333928571429,0.032302476685232666,0.04108672498777732,0.032302476685232666,-5.678382826503393,0.08031456903949619,-0.08299594189078263,159.16788201381803,-58.67700076675069
24.0,175.466,8006.985,16.0420347266881,0.0665,11.449090909090911,0.0185,17.175521276595745,0.0245,12.237389473684212,0.0193,13.379624999999999,0.0155,6.114285714285712,0.0112,2.662409726688102,0.06828250141873832,4.59294381759719,0.0690253576593414,-0.04807245695262097,0.0690253576593414,-5.726430367504834,0.030700162866017504,0.04999331917417571,0.030700162866017504,4.938131802911533,0.03118878003385192,-0.048126395963151936,0.03118878003385192,-1.1422355263157868,0.0247535855988582,0.04620553374159786,0.0247535855988582,7.265339285714287,0.019123022773609825,-0.08950080240421077,0.019123022773609825,-4.9293828265033905,0.07657022920169432,0.0038417244431094844,159.24787390913943,-58.68680159391233
25.0,182.058,5344.303,15.773034726688099,0.1129,11.910090909090911,0.0292,17.566521276595747,0.0343,12.58738947368421,0.0145,13.744625000000001,0.0251,6.633285714285714,0.0111,2.028409726688098,0.11565647409462212,3.8629438175971877,0.11661496473437703,-0.2950988307908382,0.11661496473437703,-5.656430367504836,0.04504586551505032,0.1600113120233413,0.04504586551505032,4.979131802911537,0.03723895809498434,0.09381970070050638,0.03723895809498434,-1.157235526315791,0.028987238571481763,0.04126781806699231,0.028987238571481763,7.111339285714287,0.02744485379811669,-0.2543344703467829,0.02744485379811669,-5.615382826503394,0.12541690476167874,-0.2701750375349956,159.20445540175425,-58.68141934422215
26.0,184.856,363.316,16.604034726688102,0.0739,11.93109090909091,0.0293,17.570521276595745,0.0303,12.365389473684212,0.0262,13.713625000000002,0.0155,6.402285714285712,0.0131,2.8904097266881,0.07550801281983256,4.672943817597192,0.0794965408052451,-0.14176013323792613,0.0794965408052451,-5.6394303675048345,0.04214949584514623,0.12260199051548426,0.04214949584514623,5.2051318029115325,0.04005658497675507,0.18257122227137046,0.04005658497675507,-1.34823552631579,0.030441583401656362,-0.16341307954892703,0.030441583401656362,7.31133928571429,0.02029433418469303,-0.03960478301791959,0.02029433418469303,-4.823382826503385,0.08681958304438002,-0.038316285444883746,159.1232330455753,-58.67139256035419
27.0,189.402,5205.562,12.592034726688102,0.0731,9.67709090909091,0.0313,15.476521276595747,0.045,10.787389473684213,0.0129,11.994625000000001,0.0112,4.608285714285712,0.0181,0.5974097266881007,0.07395302563113966,2.914943817597191,0.07951918007625582,-0.1529801256843566,0.07951918007625582,-5.799430367504836,0.05481505267716159,0.1073358353153866,0.05481505267716159,4.689131802911534,0.046812498331108114,0.031664912570674275,0.046812498331108114,-1.2072355263157881,0.01708361788380904,0.01397937779829661,0.01708361788380904,7.386339285714289,0.02128497122384712,-0.003787118337036155,0.02128497122384712,-6.366382826503392,0.09756561894438019,-0.09128858073794088,159.20222039710316,-58.68107913655091
28.0,200.508,380.509,16.3300347266881,0.063,11.66909090909091,0.0379,17.251521276595746,0.0339,12.085389473684211,0.0319,13.456625,0.0139,6.245285714285712,0.0147,2.8734097266881005,0.06451519200932444,4.660943817597191,0.07352149345599558,-0.14080973632191718,0.07352149345599558,-5.582430367504836,0.05084899212373831,0.1806750281786309,0.05084899212373831,5.166131802911535,0.04654911384763409,0.14627797880651716,0.04654911384763409,-1.3712355263157896,0.034796838936891956,-0.18614327066323,0.034796838936891956,7.211339285714288,0.02023116407921205,-0.13989527569145999,0.02023116407921205,-4.71638282650339,0.0803780442658317,0.07973058371342745,159.12357396747296,-58.67129449130019
29.0,205.482,4041.21,13.2860347266881,0.05,9.975090909090909,0.0288,15.863521276595748,0.0361,11.179389473684212,0.0111,12.357625,0.0079,4.963285714285712,0.0202,0.9284097266881002,0.05062025286384888,3.3109438175971917,0.0577012998120493,-0.009131971519606985,0.0577012998120493,-5.888430367504839,0.046180623642389236,-0.0025568391847325955,0.046180623642389236,4.684131802911535,0.03776797585256589,-0.026037229378330196,0.03776797585256589,-1.1782355263157882,0.013624243098242192,0.037726040082670664,0.013624243098242192,7.394339285714288,0.02168985938174796,0.009868944894810383,0.02168985938174796,-6.083382826503394,0.07189457559510314,-0.02337762140868005,159.18328958940256,-58.6786087372472
30.0,208.089,3282.258,13.206034726688099,0.094,10.654090909090911,0.0207,16.496521276595747,0.0539,11.734389473684212,0.0077,12.915625,0.0073,5.444285714285714,0.0181,0.2904097266880985,0.09428303134710932,2.551943817597188,0.09625222075360132,-0.2821111931422968,0.09625222075360132,-5.842430367504836,0.0577382022581237,0.08371363311458957,0.0577382022581237,4.762131802911535,0.05444722215136417,0.1535457511759457,0.05444722215136417,-1.1812355263157883,0.01061037228376083,0.04485180885176243,0.01061037228376083,7.471339285714286,0.01951665955024066,0.07596692573493247,0.01951665955024066,-6.871382826503394,0.12124236058407968,-0.3967951200554154,159.17092108350496,-58.67706374097221
31.0,217.034,124.5,14.7890347266881,0.0707,10.56009090909091,0.0344,16.287521276595747,0.0491,11.26538947368421,0.0313,12.537625,0.0145,5.112285714285713,0.0159,2.2514097266881006,0.072171601063022,4.228943817597191,0.07862474165299368,-0.09897756680673186,0.07862474165299368,-5.727430367504837,0.05995139698122138,0.07493558267733924,0.05995139698122138,5.022131802911536,0.05822800013739095,0.1013134237983051,0.05822800013739095,-1.2722355263157894,0.03449550695380487,-0.07727143966891137,0.03449550695380487,7.425339285714287,0.021518828964420905,0.06347611001787534,0.021518828964420905,-5.248382826503393,0.10015168495836703,-0.048083968258786136,159.11946408349135,-58.67063889932421
